horsepower,mpg,cylinders,displacement,weight,acceleration,model year,origin,car name
130,18,8,307,3504,12,70,1,chevrolet chevelle malibu
165,15,8,350,3693,11.5,70,1,buick skylark 320
150,18,8,318,3436,11,70,1,plymouth satellite
150,16,8,304,3433,12,70,1,amc rebel sst
140,17,8,302,3449,10.5,70,1,ford torino
198,15,8,429,4341,10,70,1,ford galaxie 500
220,14,8,454,4354,9,70,1,chevrolet impala
215,14,8,440,4312,8.5,70,1,plymouth fury iii
225,14,8,455,4425,10,70,1,pontiac catalina
190,15,8,390,3850,8.5,70,,amc ambassador dpl
170,15,8,383,3563,10,70,1,dodge challenger se
160,14,8,340,3609,8,70,1,plymouth 'cuda 340
150,15,8,400,3761,9.5,70,1,chevrolet monte carlo
225,14,8,455,3086,10,70,1,buick estate wagon (sw)
95,24,4,113,2372,15,70,3,toyota corona mark ii
95,22,6,198,2833,15.5,70,1,plymouth duster
,18,6,199,2774,15.5,70,1,amc hornet
85,21,6,200,2587,16,70,1,ford maverick
88,27,4,97,2130,14.5,70,3,datsun pl510
46,26,4,97,1835,20.5,70,2,volkswagen 1131 deluxe sedan
87,25,4,110,2672,17.5,70,2,peugeot 504
90,24,4,107,2430,14.5,70,2,audi 100 ls
95,25,4,104,2375,17.5,70,2,saab 99e
113,26,4,121,2234,12.5,70,2,bmw 2002
90,21,6,199,2648,15,70,1,amc gremlin
215,10,8,360,4615,14,70,1,ford f250
200,10,8,307,4376,15,70,1,chevy c20
210,11,8,318,4382,13.5,70,1,dodge d200
193,9,8,304,4732,18.5,70,,Unknown
88,27,4,97,2130,14.5,71,3,datsun pl510
90,28,4,140,2264,15.5,71,1,chevrolet vega 2300
95,25,4,113,2228,14,71,3,toyota corona
,25,4,98,2046,19,71,1,ford pinto
150,15,8,400,3761,9.5,70,1,chevrolet monte carlo
100,19,6,232,2634,13,71,1,amc gremlin
105,16,6,225,3439,15.5,71,1,plymouth satellite custom
100,17,6,250,3329,15.5,71,1,chevrolet chevelle malibu
88,19,6,250,3302,15.5,71,1,ford torino 500
100,18,6,232,3288,15.5,71,1,amc matador
165,14,8,350,4209,12,71,1,chevrolet impala
175,14,8,400,4464,11.5,71,1,pontiac catalina brougham
153,14,8,351,4154,13.5,71,1,ford galaxie 500
150,14,8,318,4096,13,71,1,plymouth fury iii
180,12,8,383,4955,11.5,71,1,dodge monaco (sw)
170,13,8,400,4746,12,71,1,ford country squire (sw)
175,13,8,400,5140,12,71,1,pontiac safari (sw)
,18,6,258,2962,13.5,71,1,amc hornet sportabout (sw)
72,22,4,140,2408,19,71,1,chevrolet vega (sw)
100,19,6,250,3282,15,71,1,pontiac firebird
88,18,6,250,3139,14.5,71,1,ford mustang
86,23,4,122,2220,14,71,1,mercury capri 2000
90,28,4,116,2123,14,71,2,opel 1900
70,30,4,79,2074,19.5,71,2,peugeot 304
76,30,4,88,2065,14.5,71,2,fiat 124b
65,31,4,71,1773,19,71,,toyota corolla 1200
69,35,4,72,1613,18,71,3,datsun 1200
60,27,4,97,1834,19,71,2,volkswagen model 111
70,26,4,91,1955,20.5,71,1,plymouth cricket
95,24,4,113,2278,15.5,72,3,toyota corona hardtop
80,25,4,97.5,2126,17,72,1,dodge colt hardtop
54,23,4,97,2254,23.5,72,2,volkswagen type 3
90,20,4,140,2408,19.5,72,1,chevrolet vega
86,21,4,122,2226,16.5,72,1,ford pinto runabout
165,13,8,350,4274,12,72,1,chevrolet impala
175,14,8,400,4385,12,72,1,pontiac catalina
150,15,8,318,4135,13.5,72,1,plymouth fury iii
153,14,8,351,4129,13,72,1,ford galaxie 500
150,17,8,304,3672,11.5,72,1,amc ambassador sst
208,11,8,429,4633,11,72,1,mercury marquis
155,13,8,350,4502,13.5,72,1,buick lesabre custom
160,12,8,350,4456,13.5,72,1,oldsmobile delta 88 royale
190,13,8,400,4422,12.5,72,1,chrysler newport royal
97,19,3,70,2330,13.5,72,3,mazda rx2 coupe
150,15,8,304,3892,12.5,72,1,amc matador (sw)
,13,8,307,4098,14,72,1,chevrolet chevelle concours (sw)
140,13,8,302,4294,16,72,1,ford gran torino (sw)
150,14,8,318,4077,14,72,,plymouth satellite custom (sw)
112,18,4,121,2933,14.5,72,2,volvo 145e (sw)
76,22,4,121,2511,18,72,2,volkswagen 411 (sw)
87,21,4,120,2979,19.5,72,2,peugeot 504 (sw)
69,26,4,96,2189,18,72,2,renault 12 (sw)
86,22,4,122,2395,16,72,1,ford pinto (sw)
92,28,4,97,2288,17,72,3,datsun 510 (sw)
97,23,4,120,2506,14.5,72,3,toyouta corona mark ii (sw)
80,28,4,98,2164,15,72,1,dodge colt (sw)
88,27,4,97,2100,16.5,72,3,toyota corolla 1600 (sw)
170,13,8,400,4746,12,71,1,ford country squire (sw)
175,13,8,350,4100,13,73,1,buick century 350
150,14,8,304,3672,11.5,73,1,amc matador
145,13,8,350,3988,13,73,1,chevrolet malibu
137,14,8,302,4042,14.5,73,1,ford gran torino
150,15,8,318,3777,12.5,73,1,dodge coronet custom
198,12,8,429,4952,11.5,73,1,mercury marquis brougham
150,13,8,400,4464,12,73,1,chevrolet caprice classic
158,13,8,351,4363,13,73,1,ford ltd
150,14,8,318,4237,14.5,73,1,plymouth fury gran sedan
,13,8,440,4735,11,73,,chrysler new yorker brougham
225,12,8,455,4951,11,73,1,buick electra 225 custom
175,13,8,360,3821,11,73,1,amc ambassador brougham
105,18,6,225,3121,16.5,73,1,plymouth valiant
100,16,6,250,3278,18,73,1,chevrolet nova custom
100,18,6,232,2945,16,73,1,amc hornet
88,18,6,250,3021,16.5,73,1,ford maverick
95,23,6,198,2904,16,73,1,plymouth duster
46,26,4,97,1950,21,73,2,volkswagen super beetle
150,11,8,400,4997,14,73,1,chevrolet impala
167,12,8,400,4906,12.5,73,1,ford country
170,13,8,360,4654,13,73,1,plymouth custom suburb
180,12,8,350,4499,12.5,73,1,oldsmobile vista cruiser
100,18,6,232,2789,15,73,1,amc gremlin
88,20,4,97,2279,19,73,3,toyota carina
72,21,4,140,2401,19.5,73,,chevrolet vega
94,22,4,108,2379,16.5,73,3,datsun 610
90,18,3,70,2124,13.5,73,3,maxda rx3
85,19,4,122,2310,18.5,73,1,ford pinto
107,21,6,155,2472,14,73,1,mercury capri v6
,26,4,98,2265,15.5,73,2,fiat 124 sport coupe
145,15,8,350,4082,13,73,1,chevrolet monte carlo s
230,16,8,400,4278,9.5,73,1,pontiac grand prix
49,29,4,68,1867,19.5,73,2,fiat 128
75,24,4,116,2158,15.5,73,2,opel manta
91,20,4,114,2582,14,73,2,audi 100ls
112,19,4,121,2868,15.5,73,2,volvo 144ea
150,15,8,318,3399,11,73,1,dodge dart custom
110,24,4,121,2660,14,73,2,saab 99le
122,20,6,156,2807,13.5,73,3,toyota mark ii
180,11,8,350,3664,11,73,,oldsmobile omega
95,20,6,198,3102,16.5,74,1,plymouth duster
,21,6,200,2875,17,74,1,ford maverick
100,19,6,232,2901,16,74,1,amc hornet
100,15,6,250,3336,17,74,1,chevrolet nova
67,31,4,79,1950,19,74,3,datsun b210
80,26,4,122,2451,16.5,74,1,ford pinto
65,32,4,71,1836,21,74,3,toyota corolla 1200
75,25,4,140,2542,17,74,1,chevrolet vega
100,16,6,250,3781,17,74,1,chevrolet chevelle malibu classic
110,16,6,258,3632,18,74,1,amc matador
105,18,6,225,3613,16.5,74,1,plymouth satellite sebring
140,16,8,302,4141,14,74,1,ford gran torino
150,13,8,350,4699,14.5,74,1,buick century luxus (sw)
97,19,3,70,2330,13.5,72,3,mazda rx2 coupe
150,14,8,318,4457,13.5,74,1,dodge coronet custom (sw)
140,14,8,302,4638,16,74,1,ford gran torino (sw)
150,14,8,304,4257,15.5,74,1,amc matador (sw)
83,29,4,98,2219,16.5,74,2,audi fox
67,26,4,79,1963,15.5,74,,volkswagen dasher
78,26,4,97,2300,14.5,74,2,opel manta
52,31,4,76,1649,16.5,74,3,toyota corona
61,32,4,83,2003,19,74,3,datsun 710
75,28,4,90,2125,14.5,74,1,dodge colt
,24,4,90,2108,15.5,74,2,fiat 128
75,26,4,116,2246,14,74,2,fiat 124 tc
97,24,4,120,2489,15,74,3,honda civic
93,26,4,108,2391,15.5,74,3,subaru
